Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;[image];Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
Quadra Xisca;;;;5;VENDAVAL CS;;;F. ANDREU;;A. Valls;;2050 Cc6;Eole (fr)-Edda Vg (it);;;;;5.761;1.18.6;1.20.1;4-D-0-3-1-0;16.05.15-4-SP-2150-A-1.19.0-F. ANDREU
Quadres Galmés Miquel;;;;6;UNDITO DU SEC;;;J. NADAL M.;;P. Galmes R.;;2050 Cc7;Flamboyant Du Sec (fr)-Go Go Girl;;;;;5.864;1.18.7;1.18.7;3-3-D-2-0-D;09.05.15-3-MN-1725-A-1.18.8-J. NADAL M.
Bartolome Mascaro Pou;;;;7;VAN GOGH;;;B. MASCARO;;B. Mascaro;;2050 Cc6;Five Alarm (us)-Brisa D'arbos;;;;;5.879;1.18.2;1.19.3;4-5-4-2-R-3;09.05.15-4-MN-1725-A-1.19.0-B. MASCARO
Quadres Son Mas;;;;8;UMA;;;Jme. FLUXA;;M. Fluxa S.;;2050 Ec7;C Super Chancen (dk)-Divina Ley;;;;;6.147;1.18.0;1.19.2;D-0-D-D(14)-0-3;09.05.15-D-MN-1725-A-0-Jme. FLUXA
Rafael Amengual Fiol;;;;9;VIKINGO JUNIOR;;;Mª. F. SUREDA;;Mª. F. Sureda;;2050 Cc6;Vikingo-Nannsong Tara Gs;;;;;6.162;1.17.9;1.20.6;5-0-D-6-7-0;16.05.15-5-SP-2150-A-1.19.2-G. RIERA
Germanes Galmes Llodra;;;;10;BO DE CLISSA;;;A. RIERA B.;;A. Riera B.;;2050 Cc4;Eole (fr)-Filla De Clissa;;;;;6.296;1.18.6;1.18.9;1-1-4-3-2-1;15.03.15-1-MN-2375-A-1.21.2-A. RIERA B.
Cuadras Son Sama;;;;11;BUFALO SS;;;M. A. MARTI;;F. J. Marti;;2050 Cc4;C Super Chancen (dk)-Nilda Biniati;;;;;6.670;1.17.8;1.18.6;4-1-3-0-D-2;17.05.15-4-SP-2150-A-1.18.5-M. A. MARTI
Cuadras G.s.;;;;12;AGUILA DE COSTITX;;;B. TOUS;;T. Garcias M.;;2050 Ec5;Sirgio (us)-Huida Blai;;;;;6.720;1.15.8;1.19.0;R-0-3-0-7-0;02.05.15-R-MN-2050-A-0-M. RIERA B.
1________;Tiempo_________;;;;2________;Tiempo_________;3________;Tiempo_________;4________;Tiempo_________;5________;;Tiempo_________;6________;Tiempo_________;;;7________;;;Tiempo_________;
3ª CARRERA;;;;;Premio APRENENTS;;;;;;;;Ganador;;;;;Quiniela;;;Trio;A las 16:50
Al Trote Enganchado;;;;;Distancia 2.050m.;;;;;;;;Matrícula 35€;;;;;Forfait % del premio;;;Cambio Conductor 18€;Autostart
;;;;;2500€ en premios: 1.200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º;;;;;;;;De 4 y más años, internacionales hasta 39.999,99 €.;;;;;;;;;
PROPIETARIO;;;Nº;;CABALLO;;He.;CONDUCTOR;;;;ENTRENADORDISTSCE;ORIGEN;;;;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA
Cuadra Zulima S.m.;;;;1;OFERTA IR;;;C. ROIG M. (AP);;G. Barcelo;;2050 En10;Vic Torre (us)-Galina V M (dk);;;;;13.984;1.14.8;1.18.3;5-0-0-0-0-5;09.05.15-5-MN-2050-A-1.19.1-A. RIERA A.
Quadra Grandchamp;;;;2;TORNADE HAUFOR (FR);;;A. Mª. PRIETO C. (AP);;M. Duran G.;;2050 Ea8;Hugo Barbes (fr)-Nymphe D'haufor (fr);;;;;19.542;1.15.3;1.16.6;0-0-0-D-D-2;17.05.15-0-SP-2150-A-0-A. Mª. PRIETO C.
Cuadra Sa Marina Slu;;;;3;AKILES STAR;;;S. MELIS M. (AP);;F. J. Sagrera R.;;2050 Cc5;Atas Nice Star L. (se)-Kodelia (fr);;;;;20.989;1.16.7;1.17.6;6-0-6-1-4-3;02.05.15-6-MN-2050-A-1.17.6-G. ANDREU
Cuadra Cafeteria Ses Prim;;;;4;UN QUEPRIXET MAR;;;J. VILLALONGA (AP);;Mª. F. Sureda;;2050 Ec7;Laramie (us)-Tracey Boko (de);;;;;21.685;1.16.2;1.17.9;0-D-2-6-2-4;17.05.15-0-SP-2150-A-0-J. RIERA S.
Maria Alomar Fontcuberta;;;;5;VIUDE IR;;;Ant. ANDREU M. (AP);;M. Andreu M;;2050 Ec6;Brandy Dei Fiori (it)-Galina V M (dk);;;;;25.812;1.15.2;1.17.3;3-3-5-1-6-7;17.05.15-3-SP-2150-A-1.17.5-J. A. RIERA
Cuadra Una Il·lusio Negra;;;;6;SYNTHESE (FR);;;A. A. SEBASTIA C. (AP);;P. Sebastia E.;;2050 Ea9;Canter De Sevres (fr)-Dune Speed (fr);;;;;29.527;1.15.2;1.17.4;4-1-2-7-1-0;17.05.15-4-SP-2150-A-1.17.9-P. SEBASTIA E.
Cuadra Rigo Ll;;;;7;TREBOLI SPA;;;J. RIGO LL. (AP);;J. Rigo Ll.;;2050 Ca8;Ganymede (fr)-Josmorama Mar;;;;;32.526;1.15.6;1.16.9;3-1-4-6-3-3;09.05.15-3-MN-2375-A-1.18.4-J. RIGO LL.
Hermanos Riera Riera;;;;8;TEVINNE DU SOLAT (FR);;;Mª. RIERA M. (AP);;Mª. Riera M.;;2050 Ec8;Grassano (fr)-Helene Williams (fr);;;;;35.098;1.16.6;1.17.9;7-5-0-2-7-5;17.05.15-7-SP-2150-A-1.18.2-J. A. RIERA
Cuadra Can Somereta;;;;9;THE KID DU DESERT (FR);;;J. T. VAQUER (AP);;K. D. Gust;;2050 Ca8;Kid Blue (fr)-Lucie Des Douets (fr);;;;;36.786;1.15.1;1.19.5;0-3-0-0-6-6;09.05.15-0-MN-2375-A-0-A. VAQUER S.
Bartolome Serra Amengua;;;;10;SULTAN BS;;;S. POCOVI (AP);;F. Bennasar;;2050 Cc9;Love You (fr)-Rydens Ravenna (se);;;;;37.169;1.15.4;1.17.4;1-2-4-2-5-1;17.05.15-1-SP-2150-A-1.17.4-F. BENNASAR
1________;Tiempo_________;;;;2________;Tiempo_________;3________;Tiempo_________;4________;Tiempo_________;5________;;Tiempo_________;6________;Tiempo_________;;;7________;;;Tiempo_________;
4ª CARRERA;;;;;Premio ZYAN POWER - LOTOTURF;;;;;;;;Ganador;;;;;Quiniela;;;Trio;A las 17:15
Al Trote Enganchado;;;;;Distancia 2.050m.;;;;;;;;Matrícula 35€;;;;;Forfait % del premio;;;Cambio Conductor 18€;Autostart
;;;;;2500€ en premios: 1.200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º;;;;;;;;De 4 y más años, nacionales de 7.000 / 12.999,99 €.;;;;;;;;;
PROPIETARIO;;;Nº;;CABALLO;;He.;CONDUCTOR;;;;ENTRENADORDISTSCE;ORIGEN;;;;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA
Cuadra Serra-mesquida;;;;1;SOMBRA NEGRA GS;;;M. SERRA M.;;M. Serra M.;;2050 Ec9;Amadeus Om (it)-Perla Negra Gs;;;;;7.571;1.17.4;1.18.6;3-5-D-7-3-0;17.05.15-3-SP-2150-A-1.18.5-M. SERRA M.
Hnas. Roig B.;;;;2;VITESSE ROAD;;;F. ANDREU;;G. Roig A.;;2050 Cc6;Brandy Dei Fiori (it)-Genova;;;;;8.146;1.18.1;1.18.1;0-0-0-5-0-0;09.05.15-0-MN-1725-A-0-F. ANDREU
Cuadra Salamanca;;;;3;BAKUGAN;;;B. RIUTORT;;B. Riutort;;2050 Cn4;Lets Go (de)-Danya Tr;;;;;8.458;1.18.1;1.19.0;7-7-4-5-2-2;17.05.15-7-SP-2150-A-1.20.9-J. C. ROTGER
Francisca Llull Adrover;;;;4;SPEZIA;;;Mª. RIERA M. (AP);;J. Adrover M.;;2050 Ec9;Amadeus Om (it)-Divina Ley;;;;;8.543;1.17.6;1.18.2;D-4-7-2-6-2;09.05.15-D-MN-1725-A-0-J. A. RIERA
Cuadra 9 De Juliol;;;;5;AS D'ORO;;;J. FLUXA;;M. Fluxa S.;;2050 Cc5;Rommel (de)-Fergie Chicco (se);;;;;8.584;1.16.4;1.18.6;1-4(14)-2-2-1-1;09.05.15-1-MN-1725-A-1.18.9-J. FLUXA
Cuadra Can Somereta;;;;6;TOGENIA CHILL GM;;;A. VAQUER S.;;K. D. Gust;;2050 Ec8;Super Chill (us)-Bogenia D'aris;;;;;8.807;1.16.2;1.17.3;0-0-0-0-D-3;09.05.15-0-MN-1725-A-0-A. VAQUER S.
Cuadras B.r.;;;;7;TIMBOLA BR;;;Jme. BASSA R.;;J. L. Mas G.;;2050 Ec8;Ata Star L. (se)-Hinka Das Pont;;;;;10.781;1.17.2;1.17.8;3-3-0-1-D-3;09.05.15-3-MN-1725-A-1.19.2-Jme. BASSA R.
Cuadra Es Sementeret;;;;8;VET AQUI SI VA BE;;;J. A. RIERA;;G. Sureda;;2050 Cc6;Prudence (fi)-Georgina Tirety;;;;;11.356;1.16.7;1.17.5;5-D-D-0-7-D;17.05.15-5-SP-2150-A-1.19.0-G. SUREDA
Cuadras Sas - Cafe 1990;;;;9;BECKER SAS;;;M. MATAMALAS;;M. Matamalas;;2050 Cc4;Idjet Mab (fr)-Fatina Trio (it);;;;;11.366;1.16.8;1.17.4;5-6-0-6-0-3;16.05.15-5-SP-2150-A-1.17.5-M. MATAMALAS
Juan Lliteras Mulet;;;;10;UNA FOTO PRIM;;;Mª. F. SUREDA;;A. Lliteras M.;;2050 En7;S J's Photo (us)-Amazzonia Ambrosio;;;;;11.531;1.16.0;1.18.7;6-7-2-D-6-3;17.05.15-6-SP-2150-A-1.19.2-G. RIERA
Cuadra Ca'n Vado;;;;11;OLIMPICA;;;J. MOYA;;J. Moya;;2050 Ec10;Proud Victory (us)-Jovanella Jp Ia;;;;;11.777;1.17.4;1.17.4;2-5-1-0-4-0;09.05.15-2-MN-1725-A-1.19.1-J. MOYA
Cuadra Ladil;;;;12;UNIC DE LADIL;;;S. POCOVI (AP);;J. Pocovi;;2050 Cc7;Pearsall Hanover (us)-Druvia (se);;;;;12.091;1.14.5;1.18.0;3-6-4-6-0-0;10.05.15-3-SP-2150-A-1.19.2-S. POCOVI
1________;Tiempo_________;;;;2________;Tiempo_________;3________;Tiempo_________;4________;Tiempo_________;5________;;Tiempo_________;6________;Tiempo_________;;;7________;;;Tiempo_________;
5ª CARRERA;;;;;Premio CLUB D'AMATEURS I PROPIETARIS;;;;;;;;Ganador;;;;;Quiniela;;;Trio;A las 17:40
Al Trote Enganchado;;;;;Distancia 2.375m.;;;;;;;;Matrícula 35€;;;;;Forfait % del premio;;;Cambio Conductor 18€;Autostart
;;;;;2500€ en premios: 1.200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º;;;;;;;;De 3 y más años, internacionales de 120.000 / 249.999,99 €. Normativa Club.;;;;;;;;;
PROPIETARIO;;;Nº;;CABALLO;;He.;CONDUCTOR;;;;ENTRENADORDISTSCE;ORIGEN;;;;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA
Cuadra Piscines;;;;1;SOMEBODY DE NAPPES (FR);;;M. GOMILA R. II;;J. Mascaro P.;;2375 Cc9;Latinus (fr)-Elite Castelets (fr);;;;;122.525;1.14.0;1.18.2;D-7-R-D-0-0;16.05.15-D-SP-2150-A-0-J. MASCARO P.
Peña Volkswagen Manaco;;;;2;PIRATE DE VALMOR (FR);;;Mª. F. SUREDA;;Mª. F. Sureda;;2375 Cc12;Full Account (fr)-Anna De Beauregard (;;;;;124.588;1.14.9;1.17.1;0-7-0-6-6-5;16.05.15-0-SP-2150-A-0-G. RIERA
Cuadra Lorette;;;;3;RIVAGE D'OLERON (FR);;;M. FORNES C.;;A. Riera B.;;2375 Cc10;Flash De Cosse (fr)-Harmina Valadour;;;;;140.914;1.14.7;1.16.2;2;16.05.15-2-SP-2150-A-1.16.2-A. RIERA B.
Peña Bar Vistamar Ii;;;;4;QUARTZ D'HOUSSAYE (FR);;;A. VIDAL A.;;A. Frontera;;2375 Cn11;Gerbo Lets (fr)-Key River (fr);;;;;143.322;1.15.6;1.15.6;3-D-4-0-5-D;16.05.15-3-SP-2150-A-1.16.5-A. FRONTERA
Jaime Tauler Tortell;;;;5;QRISTO D'YMER (FR);;;B. TOUS;;J. Tauler;;2375 Cc11;Jam Pridem (fr)-Gazelle D'ymer (fr);;;;;143.446;1.14.6;1.18.2;0-4-0-0-4-1;16.05.15-0-SP-2150-A-0-A. TUR
Cuadra Vich-capo;;;;6;RIBECOURT (FR);;D4;M. VICH;;A. Vich;;2375 Ca10;Korean (fr)-Haie Vive (fr);;;;;145.820;1.13.5;1.18.6;5-0-0-4(14)-R-0;09.05.15-5-MN-2375-A-1.18.6-M. VICH
Cuadra Sa Marina Slu;;;;7;PRINCE NOIR (FR);;;B. MASCARO;;F. J. Sagrera R.;;2375 Cc12;Viking's Way (fr)-Victoire Classique (fr);;;;;154.062;1.13.5;1.15.6;0-7-7-D-7-3;09.05.15-0-MN-2375-A-0-J. A. GARCIA
Cuadra Son Oms;;;;8;RAPIDO DU CHEVREL (FR);;;B. SAGRERA;;;;2375 Cc10;Hello Jo (fr)-Dorka Des Rades (fr);;;;;162.860;1.14.3;;;
Cuadra Mauritius;;;;9;ROI ARTHUR (FR);;;F. ANDREU;;D. M. Pereira;;2375 Ca10;Biesolo (fr)-Kawabata (fr);;;;;167.126;1.14.0;1.17.5;5-3-3-7-D-D;16.05.15-5-SP-2150-A-1.17.1-F. ANDREU
Cuadra Toni I Joan;;;;10;OSCAR DE SUCE (FR);;;M. SERRA M.;;A. Janer R.;;2375 Cc13;Dermadour Du Gite (fr)-Havane De Su;;;c;;206.654;1.14.2;1.17.0;2-4-7-7-1-5;09.05.15-2-MN-2375-A-1.17.4-Jme. FLUXA
1________;Tiempo_________;;;;2________;Tiempo_________;3________;Tiempo_________;4________;Tiempo_________;5________;;Tiempo_________;6________;Tiempo_________;;;7________;;;Tiempo_________;
;;;;;;;;;;;;[image];DIRECCIÓN DE COMUNICACIÓN;;;;;;;;;
;;;;;;;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;;;;;
;;;;;;;;;;;;;www.loteriasyapuestas.es;;;;;;;;;
